SiteID,861847,Site Timezone,-7,Data Timezone,0,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2014,1,11,8,30,3.0500000000000003,2.2,N/A,81.43,82650
2014,1,11,9,30,3.85,2.68,N/A,73.72,82660
2014,1,11,10,30,3.84,3.19,N/A,39.1,82640
2014,1,11,11,30,3.37,3.11,N/A,18.38,82660
2014,1,11,12,30,3.34,3.74,N/A,80.49,82680
2014,1,11,13,30,3.54,4.49,N/A,130.24,82680
2014,1,11,14,30,19.37,6.01,N/A,287.93,82630
2014,1,11,15,30,15.74,6.9,N/A,306.17,82590
2014,1,11,16,30,9.1,8.09,N/A,316.51,82650
2014,1,11,17,30,5.93,10.19,N/A,286.24,82640
2014,1,11,18,30,4.8100000000000005,11.6,N/A,245.22,82600
2014,1,11,19,30,8.88,12.52,N/A,292.06,82560
2014,1,11,20,30,9.790000000000001,13.44,N/A,298.96,82480
2014,1,11,21,30,11.5,13.01,N/A,294.09000000000003,82470
2014,1,11,22,30,2.41,13.09,N/A,169.69,82400
2014,1,11,23,30,3.41,13.13,N/A,177.73,82350
2014,1,12,0,30,4.11,13,N/A,217.41,82350
2014,1,12,1,30,6.82,11.73,N/A,243.62,82320
2014,1,12,2,30,4.32,11.89,N/A,287.09000000000003,82290
2014,1,12,3,30,3.65,9.81,N/A,180.20000000000002,82240
2014,1,12,4,30,7.76,9.22,N/A,194.22,82170
2014,1,12,5,30,14.22,10.76,N/A,214,82130
2014,1,12,6,30,10.14,10.22,N/A,189.65,82100
2014,1,12,7,30,7.61,8.45,N/A,191.37,82060
2014,1,12,8,30,7.23,10.35,N/A,194.69,82010
2014,1,12,9,30,6.96,10.5,N/A,208.48000000000002,81940
2014,1,12,10,30,4.76,10.41,N/A,231.70000000000002,81860
2014,1,12,11,30,4.66,9.790000000000001,N/A,231.53,81860
2014,1,12,12,30,5.15,9.5,N/A,214.06,81830
2014,1,12,13,30,7.54,8.17,N/A,227.1,81850
2014,1,12,14,30,13.25,7.37,N/A,268.23,81830
2014,1,12,15,30,9.61,4.6000000000000005,N/A,13.24,82060
2014,1,12,16,30,4.3500000000000005,4.58,N/A,323.88,82120
2014,1,12,17,30,2.98,4.3100000000000005,N/A,359.21,82150
2014,1,12,18,30,5,4.4,N/A,347.11,82230
2014,1,12,19,30,10.91,4.51,N/A,316.83,82260
2014,1,12,20,30,12.55,3.68,N/A,297.76,82370
2014,1,12,21,30,16.05,3,N/A,298.53000000000003,82380
2014,1,12,22,30,16.92,2.47,N/A,297.23,82400
2014,1,12,23,30,6.37,2.33,N/A,290.32,82480
2014,1,13,0,30,11.61,1.28,N/A,290.31,82580
2014,1,13,1,30,11.39,1.57,N/A,308.37,82650
2014,1,13,2,30,8.870000000000001,1.29,N/A,300.03000000000003,82670
2014,1,13,3,30,18.06,0.37,N/A,306.82,82730
2014,1,13,4,30,15.81,-0.06,N/A,309.2,82820
2014,1,13,5,30,12.18,-0.33,N/A,324.16,82830
2014,1,13,6,30,10.44,-0.55,N/A,333.21,82850
2014,1,13,7,30,17.97,-0.34,N/A,301.5,82790
2014,1,13,8,30,22.6,-0.21,N/A,297.47,82790
2014,1,13,9,30,23.86,0.08,N/A,296.73,82760
2014,1,13,10,30,24.990000000000002,0.31,N/A,294.95,82700
2014,1,13,11,30,24.91,0.67,N/A,293,82690
2014,1,13,12,30,25.29,1.25,N/A,292.26,82670
2014,1,13,13,30,25.52,1.84,N/A,292.62,82640
2014,1,13,14,30,26.8,2.27,N/A,293.64,82580
2014,1,13,15,30,26.68,2.86,N/A,295.49,82600
2014,1,13,16,30,22.31,3.8000000000000003,N/A,300.40000000000003,82680
2014,1,13,17,30,11.55,4.95,N/A,306.73,82790
2014,1,13,18,30,3.4,6.0600000000000005,N/A,278.2,82810
2014,1,13,19,30,0.87,6.76,N/A,318.21,82810
2014,1,13,20,30,2.62,7.53,N/A,325.81,82800
2014,1,13,21,30,2.54,7.8100000000000005,N/A,357.99,82780
2014,1,13,22,30,1.79,7.82,N/A,52.370000000000005,82750
2014,1,13,23,30,5.74,7.62,N/A,222.39000000000001,82750
2014,1,14,0,30,4.2,6.43,N/A,229.52,82800
2014,1,14,1,30,1.84,5.63,N/A,174.64000000000001,82880
2014,1,14,2,30,2.33,5.44,N/A,140.67000000000002,82910
2014,1,14,3,30,3.35,5.67,N/A,167.78,82920
2014,1,14,4,30,3.16,5.15,N/A,132.95,82970
2014,1,14,5,30,2.71,4.69,N/A,329.74,83000
2014,1,14,6,30,10.64,4.39,N/A,320.15000000000003,83040
2014,1,14,7,30,10.99,4.05,N/A,327.67,83100
2014,1,14,8,30,11.1,3.7,N/A,329.97,83170
2014,1,14,9,30,13,3.44,N/A,327.74,83190
2014,1,14,10,30,14.370000000000001,3.17,N/A,327.95,83240
2014,1,14,11,30,9.48,1.16,N/A,29.84,83380
